Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;91300;91300;2012;20121231; 243.744 ; 4.804,72 ; 50.730 ;;;;;;;
AT13;91400;91400;2012;20121231; 392.250 ; 4.592,74 ; 85.407 ;;;;;;;
AT13;91500;91500;2012;20121231; 869.802 ; 11.991,93 ; 72.532 ;;;;;;;
AT13;91600;91600;2012;20121231; 152.243 ; 1.579,23 ; 96.403 ;;;;;;;
AT13;91700;91700;2012;20121231; 345.243 ; 6.533,59 ; 52.841 ;;;;;;;
AT13;91800;91800;2012;20121231; 7.419 ; 154,94 ; 47.884 ;;;;;;;
AT13;91900;91900;2012;20121231; 144.047 ; 2.101,66 ; 68.540 ;;;;;;;
AT13;92000;92000;2012;20121231; 110.105 ; 1.319,29 ; 83.458 ;;;;;;;
AT13;92100;92100;2012;20121231; 55.559 ; 382,38 ; 145.297 ;;;;;;;
AT13;92200;92200;2012;20121231; 551.287 ; 3.368,39 ; 163.665 ;;;;;;;
AT13;92300;92300;2012;20121231; 69.916 ; 738,19 ; 94.713 ;;;;;;;
AT13;90000;90000;2013;20131231; 12.719.289 ; 7.253,25 ; 1.753.598 ;;;;;;;
AT13;90100;90100;2013;20131231; 2.193.825 ; 135.623,27 ; 16.176 ;;;;;;;
AT13;90200;90200;2013;20131231; 1.511.506 ; 15.426,50 ; 97.981 ;;;;;;;
AT13;90300;90300;2013;20131231; 1.334.574 ; 15.528,82 ; 85.942 ;;;;;;;
AT13;90400;90400;2013;20131231; 599.639 ; 19.241,63 ; 31.164 ;;;;;;;
AT13;90500;90500;2013;20131231; 436.568 ; 8.177,67 ; 53.385 ;;;;;;;
